URL,Chamber,Sponsor Party,Bipartisan?,Introduced Month,Number of Sponsors
https://www.congress.gov/bill/118th-congress/senate-bill/4951,Senate,Republican,True,August,2
https://www.congress.gov/bill/118th-congress/house-bill/9475,House,Democrat,True,September,6
https://www.congress.gov/bill/118th-congress/house-bill/6943,House,Republican,True,January,10
https://www.congress.gov/bill/118th-congress/senate-bill/4236,Senate,Democrat,True,May,3
https://www.congress.gov/bill/118th-congress/senate-bill/5436,Senate,Democrat,True,December,2
https://www.congress.gov/bill/118th-congress/senate-bill/3897,Senate,Democrat,True,March,3
https://www.congress.gov/bill/118th-congress/house-bill/7532,House,Republican,True,March,8
https://www.congress.gov/bill/118th-congress/house-bill/9639,House,Democrat,True,September,21
https://www.congress.gov/bill/118th-congress/house-bill/9042,House,Democrat,False,July,1
https://www.congress.gov/bill/118th-congress/senate-bill/3875,Senate,Democrat,True,March,2
https://www.congress.gov/bill/118th-congress/house-bill/10125,House,Democrat,True,November,2
https://www.congress.gov/bill/118th-congress/house-bill/5077,House,Democrat,True,July,21
https://www.congress.gov/bill/118th-congress/house-bill/8756,House,Democrat,True,June,3
https://www.congress.gov/bill/118th-congress/house-bill/9737,House,Democrat,False,September,2
https://www.congress.gov/bill/118th-congress/house-bill/3831,House,Democrat,False,June,2
https://www.congress.gov/bill/118th-congress/house-bill/8858,House,Democrat,False,June,21
https://www.congress.gov/bill/118th-congress/house-bill/8668,House,Democrat,False,June,2
https://www.congress.gov/bill/118th-congress/senate-bill/5539,Senate,Democrat,False,December,2
https://www.congress.gov/bill/118th-congress/house-bill/9497,House,Republican,True,September,12
https://www.congress.gov/bill/118th-congress/house-bill/9466,House,Republican,True,September,8
https://www.congress.gov/bill/118th-congress/house-bill/10263,House,Democrat,False,November,2
https://www.congress.gov/bill/118th-congress/senate-bill/4896,Senate,Democrat,False,July,2
https://www.congress.gov/bill/118th-congress/senate-bill/3162,Senate,Democrat,True,October,6
https://www.congress.gov/bill/118th-congress/house-bill/9215,House,Democrat,True,July,8
https://www.congress.gov/bill/118th-congress/house-bill/9720,House,Democrat,True,September,4
https://www.congress.gov/bill/118th-congress/senate-bill/4495,Senate,Democrat,True,June,2
https://www.congress.gov/bill/118th-congress/senate-bill/3975,Senate,Democrat,False,March,2
https://www.congress.gov/bill/118th-congress/house-bill/9673,House,Democrat,True,September,2
https://www.congress.gov/bill/118th-congress/senate-bill/4838,Senate,Democrat,True,July,2
https://www.congress.gov/bill/118th-congress/senate-bill/4714,Senate,Democrat,False,July,5
https://www.congress.gov/bill/118th-congress/house-bill/7766,House,Democrat,True,March,19
https://www.congress.gov/bill/118th-congress/senate-bill/5058,Senate,Republican,True,September,3
https://www.congress.gov/amendment/118th-congress/house-amendment/956,House,,False,,0
https://www.congress.gov/bill/118th-congress/house-resolution/1600,House,Republican,True,November,2
https://www.congress.gov/bill/118th-congress/senate-bill/4596,Senate,Republican,True,June,2
https://www.congress.gov/bill/118th-congress/senate-bill/3312,Senate,Republican,True,November,8
https://www.congress.gov/bill/118th-congress/house-bill/8700,House,Democrat,False,June,1
https://www.congress.gov/bill/118th-congress/house-bill/6936,House,Democrat,True,January,5
https://www.congress.gov/bill/118th-congress/house-bill/9671,House,Republican,True,September,2
https://www.congress.gov/bill/118th-congress/house-bill/7603,House,Republican,False,March,1
https://www.congress.gov/bill/118th-congress/house-bill/10092,House,Democrat,False,November,15
https://www.congress.gov/bill/118th-congress/house-bill/9626,House,Democrat,False,September,1
https://www.congress.gov/bill/118th-congress/senate-bill/4862,Senate,Republican,True,July,2
https://www.congress.gov/amendment/118th-congress/house-amendment/955,House,,False,,0
https://www.congress.gov/bill/118th-congress/senate-bill/4769,Senate,Democrat,True,July,2
https://www.congress.gov/bill/118th-congress/senate-bill/4178,Senate,Democrat,True,April,9
https://www.congress.gov/bill/119th-congress/house-bill/1,House,Republican,False,May,1
